27	5	6	102	37	65	86
26	6	6	101	50	51	84
25	7	6	71	27	44	82
24	7	7	68	41	27	79
21	9	8	61	39	22	72
21	6	11	55	51	4	69
19	7	12	64	43	21	64
15	11	12	54	46	8	56
13	11	14	45	52	-7	50
15	4	19	43	59	-16	49
13	6	19	33	48	-15	45
11	9	18	54	54	0	42
11	7	20	40	51	-11	40
10	8	20	41	60	-19	38
10	8	20	39	61	-22	38
10	7	21	38	53	-15	37
7	15	16	43	59	-16	36
8	9	21	28	62	-34	33
9	5	24	40	85	-45	32
7	9	22	32	74	-42	30
28	5	5	86	43	43	89
23	9	6	66	34	32	78
22	9	7	75	39	36	75
21	10	7	72	37	35	73
21	9	8	66	46	20	72
16	15	7	55	40	15	63
16	13	9	71	43	28	61
14	7	17	53	57	-4	49
11	13	14	47	51	-4	46
12	10	16	45	53	-8	46
10	14	14	41	58	-17	44
11	10	17	50	60	-10	43
9	15	14	34	45	-11	42
9	14	15	49	60	-11	41
10	11	17	47	69	-22	41
11	8	19	45	68	-23	41
9	12	17	41	54	-13	39
9	9	20	47	73	-26	36
6	10	22	43	73	-30	28
4	13	21	30	60	-30	25
28	5	5	93	29	64	89
28	5	5	89	33	56	89
21	7	10	74	49	25	70
20	9	9	66	41	25	69
19	8	11	56	51	5	65
18	10	10	65	46	19	64
15	11	12	50	40	10	56
14	10	14	47	40	7	52
14	10	14	48	51	-3	52
13	8	17	45	52	-7	47
12	11	15	44	51	-7	47
12	11	15	52	66	-14	47
11	12	15	45	46	-1	45
11	12	15	36	53	-17	45
11	10	17	42	62	-20	43
7	17	14	37	53	-16	38
10	7	21	43	66	-23	37
10	6	22	46	77	-31	36
8	7	23	48	78	-30	31
5	10	23	40	82	-42	25
23	11	4	78	37	41	80
21	8	9	69	33	36	71
21	8	9	60	33	27	71
19	11	8	72	43	29	68
16	14	8	55	46	9	62
17	7	14	59	44	15	58
13	15	10	51	45	6	54
11	16	11	49	43	6	49
12	12	14	48	59	-11	48
12	11	15	45	56	-11	47
12	11	15	56	71	-15	47
11	13	14	56	57	-1	46
13	7	18	46	48	-2	46
12	10	16	52	56	-4	46
11	10	17	46	59	-13	43
9	15	14	40	61	-21	42
11	7	20	46	66	-20	40
8	15	15	37	58	-21	39
10	9	19	55	78	-23	39
7	12	19	43	70	-27	33
27	5	6	103	32	71	86
27	4	7	86	28	58	85
23	6	9	83	41	42	75
21	7	10	67	41	26	70
18	13	7	73	45	28	67
17	13	8	52	39	13	64
18	9	11	61	35	26	63
16	13	9	60	49	11	61
13	11	14	38	47	-9	50
13	11	14	41	55	-14	50
11	14	13	34	48	-14	47
12	10	16	39	46	-7	46
11	11	16	48	56	-8	44
10	9	19	42	67	-25	39
9	11	18	32	56	-24	38
9	9	20	37	79	-42	36
8	11	19	47	66	-19	35
8	6	24	42	82	-40	30
6	12	20	34	75	-41	30
7	7	24	34	66	-32	19
28	6	4	68	24	44	90
25	11	2	77	27	50	86
25	8	5	68	24	44	83
20	12	6	68	37	31	72
17	12	9	55	37	18	63
17	11	10	54	48	6	62
14	11	13	39	34	5	53
14	9	15	45	45	0	51
14	9	15	42	45	-3	51
15	5	18	58	50	8	50
12	9	17	34	45	-11	45
12	9	17	38	55	-17	45
11	8	19	41	53	-12	41
10	11	17	38	57	-19	41
10	11	17	40	60	-20	41
9	9	20	34	54	-20	36
8	11	19	39	64	-25	35
7	13	18	40	59	-19	34
7	11	20	28	57	-29	32
8	8	22	36	67	-31	32
27	6	5	80	22	58	87
25	10	3	65	26	39	85
24	11	3	74	31	43	83
21	13	4	67	28	39	76
19	8	11	55	33	22	65
16	12	10	71	51	20	60
15	13	10	50	48	2	58
16	9	13	48	40	8	57
15	10	13	45	53	-8	55
13	10	15	42	50	-8	49
11	13	14	66	61	5	46
11	10	17	45	65	-20	43
10	12	16	43	53	-10	42
10	10	18	34	51	-17	40
11	6	21	36	59	-23	39
9	10	19	36	54	-18	37
8	12	18	38	60	-22	36
10	6	22	41	66	-25	36
8	11	19	46	62	-16	35
1	8	29	20	89	-69	11
28	5	5	83	27	56	89
24	11	3	64	24	40	83
20	8	10	57	27	30	68
19	11	8	63	35	28	68
17	9	12	57	54	3	60
15	13	10	52	36	16	58
16	8	14	47	52	-5	56
16	7	15	52	47	5	55
14	12	12	45	42	3	54
15	7	16	52	54	-2	52
11	17	10	43	41	2	50
12	10	16	44	49	-5	46
11	10	17	38	47	-9	43
11	9	18	29	44	-15	42
12	5	21	35	59	-24	41
8	15	15	38	60	-22	39
10	8	20	37	59	-22	38
10	8	20	32	55	-23	38
8	10	20	34	60	-26	34
5	13	20	29	59	-30	28
29	4	5	72	22	50	91
25	8	5	72	34	38	83
25	7	6	57	25	32	82
20	7	11	68	31	37	67
18	11	9	53	38	15	65
19	6	13	51	42	9	63
17	7	14	47	42	5	58
15	11	12	49	41	8	56
16	7	15	52	55	-3	55
15	6	17	45	52	-7	51
14	8	16	34	49	-15	50
14	6	18	48	58	-10	48
13	8	17	41	55	-14	47
12	9	17	48	58	-10	45
13	4	21	43	48	-5	43
10	12	16	42	55	-13	42
10	8	20	37	62	-25	38
8	10	20	28	50	-22	34
7	9	22	31	58	-27	30
3	6	29	26	69	-43	15
29	8	1	72	15	57	95
25	8	5	87	36	51	83
22	11	5	58	26	32	77
18	7	13	45	46	-1	61
17	7	14	52	41	11	58
16	10	12	49	44	5	58
14	13	11	53	46	7	55
13	13	12	47	39	8	52
14	10	14	47	41	6	52
12	11	15	45	52	-7	47
12	10	16	42	58	-16	46
11	12	15	40	46	-6	45
12	8	18	52	60	-8	44
10	14	14	47	57	-10	44
9	15	14	32	43	-11	42
10	9	19	43	59	-16	39
6	16	16	36	61	-25	34
7	12	19	41	62	-21	33
7	12	19	42	77	-35	33
6	14	18	45	66	-21	32
26	12	0	73	26	47	90
24	7	7	67	30	37	79
23	6	9	64	35	29	75
16	12	10	55	37	18	60
13	17	8	52	40	12	56
15	11	12	48	44	4	56
14	11	13	51	51	0	53
14	11	13	48	56	-8	53
14	10	14	52	46	6	52
12	14	12	43	48	-5	50
13	9	16	44	52	-8	48
12	11	15	44	45	-1	47
12	9	17	47	54	-7	45
13	6	19	47	57	-10	45
12	8	18	51	59	-8	44
9	14	15	55	54	1	41
9	12	17	45	57	-12	39
6	15	17	48	65	-17	33
8	9	21	40	79	-39	33
7	12	19	38	77	-39	33
25	8	5	74	34	40	83
23	9	6	85	42	43	78
21	6	11	63	48	15	69
19	10	9	68	38	30	67
18	10	10	61	41	20	64
16	12	10	52	43	9	60
17	8	13	48	49	-1	59
13	13	12	43	46	-3	52
15	6	17	47	54	-7	51
14	8	16	51	62	-11	50
13	10	15	48	44	4	49
14	7	17	45	56	-11	49
13	9	16	41	49	-8	48
13	9	16	41	50	-9	48
14	5	19	58	57	1	47
12	9	17	42	47	-5	45
10	14	14	41	51	-10	44
10	12	16	42	59	-17	42
6	8	24	29	65	-36	26
4	7	27	21	65	-44	19
26	9	3	79	36	43	87
24	8	6	67	30	37	80
